gene	mean_expression	median_expression	std_expression	cv	detection_rate	max_expression	min_expression	variance_category
ALB	24.802920390677546	23.77322998511646	9.590420389477895	0.3716796488254431	100.0	57.13743586850043	8.889490125758236	Low
AFP	26.976191680526586	25.979731542292583	10.903212194069317	0.3897318233510219	100.0	59.74866297800615	3.218862829990744	Low
APOA1	16414.425104815233	15483.59631178352	5823.582635188832	0.35476282813294713	100.0	39597.61255072744	6565.496981431593	High
APOB	1018.9605243990809	968.7281492428882	368.0628345494551	0.3608598820687719	100.0	2231.907031036497	330.3722808735351	High
APOC3	2336.2496234936325	2229.280467368616	754.4542876362843	0.3227957681766805	100.0	4612.741579987133	995.9162273180908	High
APOE	214.114402327945	202.56728391732617	76.03061686618247	0.3534427078958326	100.0	447.37788828307225	74.08731008417466	Medium
CYP3A4	227.14565123548437	221.0942081207955	77.00978173697528	0.33754656869391014	100.0	441.21811491996	68.32365086144293	Medium
CYP2E1	41.71628641993282	39.269129974035025	16.944635000191624	0.3966785603414416	100.0	86.79508558101223	15.296129385196092	Low
G6PC	5.834182784522373	5.258174304898622	3.3441927780078986	0.4893332360939506	98.0	15.498013956233136	0.0	Low
PCK1	92.52413572385838	89.7591117400223	31.628862922076962	0.3381893099281356	100.0	207.1213280970963	33.23690077486472	Medium
FBP1	147.71133380096316	143.57132058246987	52.14679722363183	0.3506578543194674	100.0	350.9447391656545	50.42100504169687	Medium
HMGCR	1133.9763433050255	1054.840498073018	406.47455651153393	0.35813482713471295	100.0	2388.5517241874154	421.7731840538778	High
FASN	48.60660453459652	47.309078755401856	17.99246487352726	0.36270301187373144	100.0	104.82954430319424	14.81833503794207	Low
ACACA	380.2940135836303	380.3212496881853	116.65066655042546	0.30593364279200813	100.0	678.846114419354	134.9574700284043	Medium
SCD	205.17509592829936	204.62173799568458	70.64561589264112	0.342648638403977	100.0	392.08482963818574	72.70569446497674	Medium
FADS2	15.548438865930816	14.866647448416987	6.704252780919281	0.4051290176212148	100.0	35.75239186177265	1.142972702325456	Low
GCK	98.269294404869	94.76880454077602	35.25704051518279	0.3551656202106891	100.0	200.38932550415348	37.86279240545186	Medium
HNF4A	113.8057728609611	111.43133230581593	38.46683668691847	0.33506012570905175	100.0	249.48798037964136	45.44385611133825	Medium
HNF1A	779.1249834871804	761.085176812335	255.4459134379712	0.32744229302351124	100.0	1536.1528088870402	113.14452301662728	High
CEBPA	2388.074940556591	2233.224419922938	766.3429776706382	0.32076975261902024	100.0	4494.049809920222	1007.0833297929236	High
NR1H4	459.86102284630283	421.48957849777344	143.66647086221664	0.3117349130002895	100.0	810.1778274272644	204.24541107877408	High
RXRA	28.68331676750562	27.42512588541172	10.373261158234234	0.34946435533073117	100.0	56.72093747805828	5.134420443461101	Low
PPARA	76.11340218348238	76.67294985472031	26.625737635874547	0.34528028697945007	100.0	160.95174934893706	25.468990643864824	Medium
PPARG	950.9801276111036	886.4657346548452	343.079890042608	0.36038555857624016	100.0	2152.146195627849	306.560858676485	High
SLC2A2	199.14498879248396	190.4858303170071	67.3308939364445	0.33641059085548775	100.0	531.9058734243071	94.85484316684725	Medium
ALDH2	1696.9830225938122	1663.6960369350845	507.05710071271574	0.2986231864310064	100.0	3232.222996667704	762.4408292688645	High
ADH1B	5724.933548587466	5251.304180938764	2099.2236884685885	0.36661684433736524	100.0	14998.562377346932	1865.242235424004	High
ADH1C	42.17998400520949	40.63844626477976	12.726253381715452	0.29472575488170816	100.0	77.65800345096798	14.37202197976184	Low
CPS1	899.1885047273357	822.8920361063829	274.2007131194716	0.3046036598773566	100.0	1791.5468085458594	397.9495677852342	High
OTC	25.239146731235547	23.08991123730646	10.945463120975848	0.417142494498351	100.0	52.76616141739016	6.825272431368839	Low
ASS1	116.61993100168682	111.99009571168999	42.51981670606264	0.36150179943102373	100.0	243.9317131923375	33.38520214337065	Medium
ASL	10.283918385484387	9.349569540369597	5.13285885925288	0.45488266432835783	99.0	32.55740661818837	0.0	Low
ABCB11	132.15334330459365	127.34796303023546	44.39209181333294	0.33339074116813	100.0	268.5319453281956	37.889542133334494	Medium
ABCC2	282.7513828554213	262.6196971883751	97.13356541958385	0.34231926710671196	100.0	599.8605206793752	131.1468386579334	Medium
SLC10A1	776.1215677580999	794.2034596590227	247.81797734522905	0.31889216259967335	100.0	1317.5299838112132	316.3072107705059	High
SLC22A1	1846.6360965051601	1829.4568267427173	662.0975757612711	0.3583484740386062	100.0	3473.055576317015	593.3134192094482	High
SLCO1B1	16.10513365750717	15.230631927462477	6.26808086102646	0.36644442461140897	100.0	35.660449168155374	3.857246140104533	Low
SLCO1B3	521.1971656974644	484.9746280863699	185.80088370065138	0.35580599801320134	100.0	1192.2872921780138	157.22339205750666	High
TTR	44.05837420698734	42.25370115696283	17.37071040237491	0.3855156939879376	100.0	111.8760389449627	16.401800190032567	Low
TF	168.16750277993586	158.39627025549663	55.310257485830704	0.3269555711168823	100.0	359.30476399134443	51.19266961022678	Medium
HPX	123.96153185310133	119.03569992363876	46.999578508862825	0.3761123748395885	100.0	248.89101069630567	44.42517236805834	Medium
HP	128.2094886479082	122.29296023064165	41.64486440782568	0.3223050013092044	100.0	249.56987373971745	48.03811691620951	Medium
FGA	9375.208373517658	9295.57599752607	2756.8523858547246	0.2940263565004838	100.0	15810.812672554355	3857.514500411204	High
FGB	107.22623087852479	99.15842771912999	41.76658598539259	0.3859192512420784	100.0	250.31754498822863	49.700469764555535	Medium
FGG	278.1647010499588	273.8434472279762	86.62287123061196	0.3102930667982629	100.0	485.0116332024449	76.72012920534397	Medium
SERPINA1	723.210697620787	674.457282852037	254.1100197385539	0.35087857797926597	100.0	1714.2665380521712	244.10050074201885	High
SERPINC1	337.42997927839815	324.68860699314064	117.95093127102317	0.3485238852731624	100.0	670.059516240408	122.34253504813285	Medium
GENE00000	294.048157168774	282.91992019461486	107.70061836905678	0.3650272531865016	100.0	639.8037149765514	89.8957963990093	Medium
GENE00001	775.5401443581084	715.0671873645811	301.12938024069854	0.38778340363795805	100.0	1753.100276331853	220.51431407409248	High
GENE00002	726.4289218652282	726.7633219111367	217.80715260388834	0.29942052901251265	100.0	1307.3219630027602	235.208099775465	High
GENE00003	408.218549571072	412.62111203932204	127.49495627410542	0.3115571285997201	100.0	735.0487489769295	141.37938641531113	Medium
GENE00004	53.573583925743634	54.13659180593976	17.132886065351002	0.31394101015361425	100.0	109.4763090901891	20.43212131408084	Low
GENE00005	4982.758030705013	4744.97736223999	1579.1090684073727	0.3168510707539283	100.0	11119.50400296779	1674.9502684072947	High
GENE00006	10052.349721544095	9414.506903769237	3483.0943017217082	0.34646107001107485	100.0	21684.435381529394	4621.814252746691	High
GENE00007	118.38918913286825	115.84574923912842	38.550340610334295	0.32289641038965106	100.0	235.8472276623413	42.4961853224922	Medium
GENE00008	57.97768453551893	55.141853573628836	24.549886281036226	0.4162572076943986	100.0	130.18964574854195	16.809609115027346	Medium
GENE00009	422.0246831891436	400.1550753638303	137.49209630640237	0.32502145092305795	100.0	878.6275725066091	182.75984145642147	High
GENE00010	185.87250090581554	177.09089937485896	72.23543069094241	0.38654928007491773	100.0	381.47017334839086	48.89341315925737	Medium
GENE00011	1724.3367693846265	1683.1319424128487	494.2513782943831	0.2864666116578893	100.0	3136.5476614392064	594.4767095172183	High
GENE00012	948.287185889767	917.1807636159629	282.97979581755334	0.2980971407006999	100.0	1641.5987871117268	341.3074146917059	High
GENE00013	556.62040647279	533.4570615998272	207.15722519906043	0.3715022312569707	100.0	1092.8009870607134	160.920289881056	High
GENE00014	4.500753919452276	4.071876131572072	2.3490624125154844	0.4270437192633745	100.0	10.880896156275169	0.8711714265254488	Low
GENE00015	57.52149656976355	54.2727579964218	19.04249281044175	0.32539312776701074	100.0	115.03335947954857	21.477670312161557	Low
GENE00016	8.57845652494144	8.789528124043798	3.7035894869934722	0.3866582760332688	100.0	23.030384046737392	0.8187456674590023	Low
GENE00017	2.7362100399005844	2.2485079021581167	2.3065439017659	0.6173485636870871	88.0	12.00432374210454	0.0	Low
GENE00018	90.0064216869237	88.30814627876526	31.910326903549002	0.3506381891744465	100.0	199.0402283743723	35.44823868171991	Medium
GENE00019	2517.814990376641	2357.454454001888	984.4086216811527	0.39082212288007423	100.0	6579.611192396858	1045.4141407690038	High
GENE00020	92.67059360610905	86.7232252790844	29.866863736646415	0.3188499462514193	100.0	194.44400853812408	31.435196953733264	Medium
GENE00021	148.85623944440258	141.38280767179327	62.55719368362841	0.4174480416401844	100.0	377.7360654934309	34.38373140204307	Medium
GENE00022	1704.1724885938465	1640.444184004104	457.71828136098765	0.26842931399769443	100.0	3160.265695616593	908.7765994388412	High
GENE00023	306.2991171879923	300.31555627809877	118.76442069166964	0.38647823585843466	100.0	671.0521355111548	100.11515535223506	Medium
GENE00024	540.1664708538095	524.9462542924397	166.02009597230577	0.3067819329426903	100.0	1185.5951536110224	221.61341787439545	High
GENE00025	3768.1312454475456	3411.966806233874	1350.9459723588236	0.35842370148042235	100.0	6773.29263151358	1106.6544660579011	High
GENE00026	130.11077351617988	128.0778892137679	47.13387898461362	0.3594966128301959	100.0	270.6948437720948	47.06343650429998	Medium
GENE00027	2025.9885621054666	1931.3655462503093	693.2193098025177	0.34199468253657006	100.0	4359.928874855754	666.9393305841028	High
GENE00028	15.944987474121856	14.949714864665605	6.483414574649737	0.3826154834608828	100.0	30.83722730388472	3.096302493322496	Low
GENE00029	122.67298658395059	123.40140671968237	38.266488081694675	0.3094167056095064	100.0	228.73352540284293	46.8060590069605	Medium
